Date,TLT_Close,TLT_Daily_Return,Signal,Cumulative_TLT_Return,Cumulative_Strategy_Return
2002-07-31,36.838470458984375,0.01238939389047089,0,1.012389393890471,1.0
2002-08-01,37.04826736450195,0.00569504930317799,0,1.0181550014026917,1.0
2002-08-02,37.42766189575195,0.010240547216886053,0,1.0285814657686647,1.0
2002-08-05,37.59282684326172,0.004412911177027468,0,1.0331205044154386,1.0
2002-08-06,37.271461486816406,-0.008548581828794144,1,1.0242887892444381,0.9914514181712059
2002-08-07,37.36075210571289,0.0023956833280622813,0,1.0267426608199521,0.9914514181712059
2002-08-08,37.36075210571289,0.0,0,1.0267426608199521,0.9914514181712059
2002-08-09,37.8874397277832,0.014097350625598803,0,1.0412170121117912,0.9914514181712059
2002-08-12,38.11955642700195,0.0061264815170010145,0,1.0475960088916811,0.9914514181712059
2002-08-13,38.58824157714844,0.012295136514613114,0,1.0604763448331682,0.9914514181712059
2002-08-14,38.735538482666016,0.003817144795859484,0,1.0645243365939803,0.9914514181712059
2002-08-15,38.396324157714844,-0.008757186249081506,0,1.0552020987117467,0.9914514181712059
2002-08-16,37.967796325683594,-0.01116064731277533,0,1.0434253602443246,0.9914514181712059
2002-08-19,38.08385467529297,0.003056757590402137,0,1.0466148586342696,0.9914514181712059
2002-08-20,38.50787353515625,0.011133822021917483,0,1.058267682195798,0.9914514181712059
2002-08-21,38.30256652832031,-0.005331559184863832,0,1.0526254654147424,0.9914514181712059
2002-08-22,37.967796325683594,-0.008740150673433256,0,1.0434253602443249,0.9914514181712059
2002-08-23,38.342750549316406,0.009875585625683803,0,1.0537297967334276,0.9914514181712059
2002-08-26,38.378448486328125,0.0009310218098674827,0,1.0547108421558937,0.9914514181712059
2002-08-27,38.13738250732422,-0.006281285161639172,0,1.0480859025932399,0.9914514181712059
2002-08-28,38.32937240600586,0.0050341655892292,0,1.0533621405786309,0.9914514181712059
2002-08-29,38.637332916259766,0.008034582643092092,0,1.0618254657502142,0.9914514181712059
2002-08-30,38.86943435668945,0.006007180695746461,0,1.0682040431903208,0.9914514181712059
2002-09-03,39.46700668334961,0.015373836448878242,0,1.0846264374443593,0.9914514181712059
2002-09-04,39.45803451538086,-0.00022733337850355806,0,1.0843798656519208,0.9914514181712059
2002-09-05,39.67318344116211,0.0054526011856312895,0,1.0902925565930492,0.9914514181712059
2002-09-06,39.207000732421875,-0.011750574778845557,0,1.0774809923759838,0.9914514181712059
2002-09-09,39.14872741699219,-0.0014862987308666975,0,1.0758795337444824,0.9914514181712059
2002-09-10,39.3370246887207,0.004809792914157063,0,1.0810542915023733,0.9914514181712059
2002-09-11,39.13080978393555,-0.0052422598408741194,0,1.0753871240042259,0.9914514181712059
2002-09-12,39.43562316894531,0.007789600744089409,0,1.0837639603455533,0.9914514181712059
2002-09-13,39.79871368408203,0.009207170724327307,0,1.093742360153328,0.9914514181712059
2002-09-16,39.86598587036133,0.001690310566650366,0,1.0955911244218883,0.9914514181712059
2002-09-17,39.942169189453125,0.0019109854536027981,0,1.0976847831237548,0.9914514181712059
2002-09-18,39.951133728027344,0.00022443795006976686,0,1.0979311452463019,0.9914514181712059
2002-09-19,40.22013854980469,0.006733346382824301,0,1.1053238959517362,0.9914514181712059
2002-09-20,40.03187942504883,-0.004680717957317282,0,1.100150186543303,0.9914514181712059
2002-09-23,40.39045715332031,0.008957304363959251,0,1.1100045666102378,0.9914514181712059
2002-09-24,40.650474548339844,0.006437594752456421,0,1.1171503261834506,0.9914514181712059
2002-09-25,40.1573371887207,-0.012131158740415704,0,1.103597998239612,0.9914514181712059
2002-09-26,40.063228607177734,-0.0023434965595627855,0,1.101011720127597,0.9914514181712059
2002-09-27,40.36357879638672,0.007496904259862269,0,1.1092658995823799,0.9914514181712059
2002-09-30,40.52495193481445,0.003997988861240032,0,1.1137007322930637,0.9914514181712059
2002-10-01,40.02231216430664,-0.012403216944373519,0,1.099887260499325,0.9914514181712059
2002-10-02,40.25181579589844,0.00573439212231408,0,1.106194445341366,0.9914514181712059
2002-10-03,40.15281295776367,-0.002459586882658238,0,1.1034736639939349,0.9914514181712059
2002-10-04,40.278812408447266,0.003137998097820116,0,1.1069363622525423,0.9914514181712059
2002-10-07,40.34630584716797,0.001675656125018854,0,1.1087912069479569,0.9914514181712059
2002-10-08,40.35980224609375,0.0003345138704125006,0,1.1091621129860723,0.9914514181712059
2002-10-09,40.56678771972656,0.005128505644569792,0,1.1148504571432643,0.9914514181712059
2002-10-10,40.247276306152344,-0.007876182254846098,0,1.1060696917559054,0.9914514181712059
2002-10-11,39.77029800415039,-0.011851194559693523,0,1.092961444642326,0.9914514181712059
2002-10-14,39.71180725097656,-0.0014707144806338501,0,1.0913540104189159,0.9914514181712059
2002-10-15,38.77134323120117,-0.023682226644375692,0,1.0655083173949267,0.9914514181712059
2002-10-16,38.7893180847168,0.0004636118333181116,0,1.0660022996593699,0.9914514181712059
2002-10-17,38.31684875488281,-0.012180397933320153,0,1.0530179674516844,0.9914514181712059
2002-10-18,38.41582489013672,0.0025830969526503544,0,1.0557380149544948,0.9914514181712059
2002-10-21,38.04236602783203,-0.009721484918590706,0,1.0454746737641318,0.9914514181712059
2002-10-22,37.934383392333984,-0.0028384836899746357,0,1.0425071109543709,0.9914514181712059
2002-10-23,37.9478759765625,0.00035568218122783435,0,1.0428779121575407,0.9914514181712059
