Date,TQQQ_Price,QQQ_Price,Excess_Return,Excess_ZScore,Position,Strategy_Return,Strategy_Cumulative,QQQ_Cumulative
2010-03-11,0.2614428997039795,41.149810791015625,-0.003128103670552329,-0.9822944233431934,0,0.0,1.0,1.0038088883438678
2010-03-12,0.2620393931865692,41.15849304199219,-0.0031370067667200463,-0.8266360147167578,0,0.0,1.0,1.004020660919114
2010-03-15,0.26027482748031616,41.054229736328125,-0.0010315361001341228,0.8652896184256255,0,0.0,1.0,1.0014740339337174
2010-03-16,0.2651962637901306,41.314945220947266,0.0019498328530286324,2.116679302610194,0,0.0,1.0,1.0078138002401538
2010-03-17,0.26703518629074097,41.42790603637695,-0.0015800020096722323,-0.019105142240121845,0,0.0,1.0,1.0105655434463154
2010-03-18,0.26974359154701233,41.566959381103516,-0.002667302789079118,-0.5463013577043226,0,0.0,1.0,1.0139518408916497
2010-03-19,0.26497191190719604,41.31553268432617,-0.0006584675696088421,0.5489014780188373,0,0.0,1.0,1.0078001111911008
2010-03-22,0.2721293568611145,41.68963623046875,-0.0005562847017814287,0.4841186306641032,0,0.0,1.0,1.016884464687851
2010-03-23,0.277820885181427,41.976722717285156,-0.0012752557001197012,0.006568008451038997,0,0.0,1.0,1.023863014678246
2010-03-24,0.27386900782585144,41.77662658691406,-0.0011781944509269976,0.0986401264600353,0,0.0,1.0,1.0189707585771586
2010-03-25,0.27215421199798584,41.715728759765625,-0.0008237926450013894,0.19941090931813696,0,0.0,1.0,1.0174843203069353
2010-03-26,0.27357131242752075,41.75923156738281,-0.00040325254562012525,0.35838994502376376,0,0.0,1.0,1.0185448402155062
2010-03-29,0.2773236930370331,41.95931625366211,-0.001972567561051644,-0.8621808686127957,0,0.0,1.0,1.0234134295100918
2010-03-30,0.2802315354347229,42.098514556884766,-0.001218452558111878,0.02138094722625454,1,0.0,1.0,1.0268029422236347
2010-03-31,0.27645429968833923,41.8984260559082,0.0007844443502054918,1.9176860503599928,0,-0.013570647847111861,0.9864293521528882,1.0219110533378595
2010-04-01,0.2759075164794922,41.8984260559082,-0.0012340901551791544,-0.5195872847084522,0,0.0,0.9864293521528882,1.0219110533378595
2010-04-05,0.28388461470603943,42.2899169921875,-0.0009864542452615588,-0.1370854411228883,1,0.0,0.9864293521528882,1.0314152622185124
2010-04-06,0.286047101020813,42.411720275878906,-0.0016375819040404874,-0.8514481200894146,1,0.007588616785841456,0.9939149864926823,1.0343816712853815
