Date,Close,RSI,SMA_200,Signal,Signal_Name
2004-01-09,0.9811599850654602,54.51712932875313,0.9734203318754832,1,BUY
2004-01-12,0.9907199740409851,64.16404742299531,0.9739783848485639,-1,SELL
2004-01-16,0.9909999966621399,64.08684141431823,0.9763759970664978,1,BUY
2004-01-20,0.9914799928665161,60.64577363543349,0.9769416193704348,-1,SELL
2004-03-02,1.020300030708313,39.75243173753633,0.9992976090801295,1,BUY
2004-03-05,1.0044000148773193,27.82921470811722,0.999457710981369,-1,SELL
2004-04-13,1.0052000284194946,54.572338282669136,0.9985359790398902,1,BUY
2004-04-14,0.9878399968147278,50.70435551312125,0.9984268363641233,-1,SELL
2005-02-01,0.9541800022125244,79.60804493918519,0.9353931003808975,1,BUY
2005-02-02,0.9623299837112427,83.29158895934353,0.9352299502491951,-1,SELL
2005-02-11,0.9698299765586853,68.15198430960925,0.9341563004255294,1,BUY
2005-02-16,0.9688299894332886,55.4714227425379,0.9341422501206398,-1,SELL
2005-02-17,0.96315997838974,53.06989187276964,0.9341162499785424,1,BUY
2005-02-18,0.9735900163650513,58.78042971032589,0.9341892001032829,-1,SELL
2005-02-24,0.9718000292778015,56.76772439433964,0.9345418500900269,1,BUY
2005-02-25,0.9753100275993347,58.98817805690444,0.9346542003750801,-1,SELL
2005-03-08,0.9670600295066833,48.54276121109572,0.9348095002770423,1,BUY
2005-03-11,0.9574499726295471,37.20327154803836,0.9348606497049332,-1,SELL
2005-03-21,0.9501100182533264,29.907444400053265,0.9351132503151893,1,BUY
2005-03-29,0.9339699745178223,27.10559376584723,0.9349226996302604,-1,SELL
2005-05-03,0.9690799713134766,55.19670043941376,0.9359994992613793,1,BUY
2005-05-04,0.9728900194168091,65.28478581365893,0.9361934494972229,-1,SELL
2005-05-17,0.9542700052261353,38.6966374400924,0.9375201493501664,1,BUY
2005-05-18,0.9573400020599365,37.663069645998284,0.9376046493649483,-1,SELL
2005-05-26,0.9602699875831604,47.91423396040513,0.9380916494131089,1,BUY
2005-06-01,0.9343699812889099,29.779775280898875,0.9384124493598938,-1,SELL
2005-06-23,0.9491599798202515,55.590248071086336,0.9421229991316795,1,BUY
2005-06-28,0.9405099749565125,33.00774645206225,0.9427297487854958,-1,SELL
2006-08-07,0.8532000184059143,55.6592496153391,0.850185050368309,1,BUY
2006-08-09,0.8567000031471252,56.022989115186384,0.84998605042696,-1,SELL
2006-08-22,0.8495000004768372,41.024352319399405,0.8493782505393028,1,BUY
2006-08-23,0.847599983215332,43.00756584092799,0.8492582005262375,-1,SELL
2006-12-08,0.9021300077438354,69.75968384785295,0.8489499509334564,1,BUY
2006-12-11,0.9010000228881836,67.76007302487497,0.8492424511909484,-1,SELL
2006-12-22,0.9049699902534485,57.77893978553058,0.85177275121212,1,BUY
2006-12-27,0.9110000133514404,56.87940688420527,0.8528612515330315,-1,SELL
2007-01-01,0.9203000068664551,70.58639800549196,0.8542151013016701,1,BUY
2007-01-02,0.9271000027656555,74.41672811477213,0.8547246012091637,-1,SELL
2007-01-10,0.9119600057601929,56.43814896676144,0.8572329011559486,1,BUY
2007-01-11,0.9182999730110168,62.49296139717383,0.8576194009184838,-1,SELL
