Date,TQQQ_Price,QQQ_Price,Excess_Return,Excess_ZScore,Position,Strategy_Return,Strategy_Cumulative,QQQ_Cumulative
2010-03-11,0.2614429295063019,41.149810791015625,-0.0031285801906850708,-0.9819336678963229,0,0.0,1.0,1.0038086091745995
2010-03-12,0.2620393633842468,41.15848922729492,-0.0031365482491262364,-0.825736949200198,0,0.0,1.0,1.0040202886548384
2010-03-15,0.26027485728263855,41.05422592163086,-0.0010318515991019073,0.8651007558345821,0,0.0,1.0,1.0014736623773348
2010-03-16,0.2651962339878082,41.314937591552734,0.0019502104627976968,2.116636702888111,0,0.0,1.0,1.0078133344506601
2010-03-17,0.26703524589538574,41.42789077758789,-0.0015774550606713622,-0.017615414404197696,0,0.0,1.0,1.010564891292764
2010-03-18,0.26974359154701233,41.56696319580078,-0.0026665526817753193,-0.5458334623724191,0,0.0,1.0,1.0139516515075642
2010-03-19,0.26497194170951843,41.315521240234375,-0.0006575844097928829,0.5492315902871171,0,0.0,1.0,1.0077995490462894
2010-03-22,0.2721294164657593,41.689632415771484,-0.0005553882123478099,0.48435474602369866,0,0.0,1.0,1.016884084412803
2010-03-23,0.277820885181427,41.976715087890625,-0.001275201180673563,0.006235475258870033,0,0.0,1.0,1.0238625400189898
2010-03-24,0.2738690972328186,41.77663803100586,-0.0011779673315467504,0.09842740756350278,0,0.0,1.0,1.0189707527480525
2010-03-25,0.27215418219566345,41.71571350097656,-0.0008229188010789798,0.19957002000317486,0,0.0,1.0,1.0174836626349053
2010-03-26,0.27357131242752075,41.75921630859375,-0.0004023206649966665,0.358613447861967,0,0.0,1.0,1.0185441822457022
2010-03-29,0.2773236334323883,41.95932388305664,-0.001973721233008291,-0.8636230176538905,0,0.0,1.0,1.0234133257707294
2010-03-30,0.2802315652370453,42.09851837158203,-0.0012190596644450422,0.019729768592394666,1,0.0,1.0,1.0268027447902643
2010-03-31,0.2764543294906616,41.898414611816406,0.0007840433954515447,1.916832737143702,0,-0.013570646394051077,0.986429353605949,1.0219104833429737
2010-04-01,0.27590757608413696,41.898414611816406,-0.001232779389997881,-0.5180860473781808,0,0.0,0.986429353605949,1.0219104833429737
