TRA_Date,Pre_TRA_Date
1991-10-28,1991-10-25
1992-02-03,1992-01-31
1992-04-27,1992-04-24
1992-08-03,1992-07-31
1992-10-30,1992-10-29
1993-02-01,1993-01-29
1993-05-03,1993-04-30
1993-08-02,1993-07-30
1993-11-01,1993-10-29
1994-01-31,1994-01-28
1994-05-02,1994-04-29
1994-08-01,1994-07-29
1994-10-31,1994-10-28
1995-01-30,1995-01-27
1995-05-01,1995-04-28
1995-07-31,1995-07-28
1995-10-30,1995-10-27
1996-01-29,1996-01-26
1996-04-29,1996-04-26
1996-07-29,1996-07-26
1996-10-28,1996-10-25
1997-02-03,1997-01-31
1997-04-28,1997-04-25
1997-07-28,1997-07-25
1997-10-27,1997-10-24
1998-02-02,1998-01-30
1998-05-04,1998-05-01
1998-08-03,1998-07-31
1998-10-26,1998-10-23
1999-02-01,1999-01-29
1999-05-03,1999-04-30
1999-08-02,1999-07-30
1999-11-01,1999-10-29
2000-01-31,2000-01-28
2000-05-01,2000-04-28
2000-07-31,2000-07-28
2000-10-30,2000-10-27
2001-01-29,2001-01-26
2001-04-30,2001-04-27
2001-07-30,2001-07-27
2001-10-29,2001-10-26
2002-01-28,2002-01-25
2002-04-29,2002-04-26
2002-07-29,2002-07-26
2002-10-28,2002-10-25
2003-02-03,2003-01-31
2003-04-28,2003-04-25
2003-07-28,2003-07-25
2003-11-03,2003-10-31
2004-02-02,2004-01-30
2004-05-03,2004-04-30
2004-08-02,2004-07-30
2004-11-01,2004-10-29
2005-01-31,2005-01-28
2005-05-02,2005-04-29
2005-08-01,2005-07-29
2005-10-31,2005-10-28
2006-01-30,2006-01-27
2006-05-01,2006-04-28
2006-07-31,2006-07-28
2006-10-30,2006-10-27
2007-01-29,2007-01-26
2007-04-30,2007-04-27
2007-07-30,2007-07-27
2007-10-29,2007-10-26
2008-01-28,2008-01-25
2008-04-28,2008-04-25
2008-07-28,2008-07-25
2008-11-03,2008-10-31
2009-02-02,2009-01-30
2009-04-27,2009-04-24
2009-08-03,2009-07-31
2009-11-02,2009-10-30
2010-02-01,2010-01-29
2010-05-03,2010-04-30
2010-08-02,2010-07-30
2010-11-01,2010-10-29
2011-01-31,2011-01-28
2011-05-02,2011-04-29
2011-08-01,2011-07-29
2011-10-31,2011-10-28
2012-01-30,2012-01-27
2012-04-30,2012-04-27
2012-07-30,2012-07-27
2012-10-29,2012-10-26
2013-02-04,2013-02-01
2013-04-29,2013-04-26
2013-07-29,2013-07-26
2013-11-04,2013-11-01
2014-02-03,2014-01-31
2014-04-28,2014-04-25
2014-08-04,2014-08-01
2014-11-03,2014-10-31
2015-02-02,2015-01-30
2015-05-04,2015-05-01
2015-08-03,2015-07-31
2015-11-02,2015-10-30
2016-02-01,2016-01-29
2016-05-02,2016-04-29
2016-08-01,2016-07-29
2016-10-31,2016-10-28
2017-01-30,2017-01-27
2017-05-01,2017-04-28
2017-07-31,2017-07-28
2017-10-30,2017-10-27
2018-01-29,2018-01-26
2018-04-30,2018-04-27
2018-07-30,2018-07-27
2018-10-29,2018-10-26
2019-01-28,2019-01-25
2019-04-29,2019-04-26
2019-07-29,2019-07-26
2019-10-28,2019-10-25
2020-02-03,2020-01-31
2020-05-04,2020-05-01
2020-08-03,2020-07-31
2020-11-02,2020-10-30
2021-02-01,2021-01-29
2021-05-03,2021-04-30
2021-08-02,2021-07-30
2021-11-01,2021-10-29
2022-01-31,2022-01-28
2022-05-02,2022-04-29
2022-08-01,2022-07-29
2022-10-31,2022-10-28
2023-01-30,2023-01-27
2023-05-01,2023-04-28
2023-07-31,2023-07-28
2023-10-30,2023-10-27
